Class,Keyword
OFF,idio
OFF,boatload
OFF,diversion
OFF,hy
OFF,blisters
OFF,coont
OFF,steroid
OFF,hobag
OFF,lmfaoo
OFF,german
OFF,kaze
OFF,whiff
OFF,sexist
OFF,dominos
OFF,patrick
OFF,1001
OFF,nailed
OFF,yen
OFF,thw
OFF,hplyk
OFF,abnormal
OFF,crack
OFF,resounding
OFF,ohh
OFF,awh
OFF,ode
OFF,sweetie
OFF,poppin
OFF,qual
OFF,claustrophobic
OFF,kookoo
OFF,melt
OFF,unepic
OFF,miriam
OFF,uncultured
OFF,omfg
OFF,delirious
OFF,bothering
OFF,shithouse
OFF,fuckass
OFF,bafoonicus
OFF,dillusional
OFF,dickhead
OFF,batting
OFF,hungery
OFF,bunk
OFF,dickmatized
OFF,ostrich
OFF,pornhub
OFF,fuckbucket
NOT,mossad
NOT,dreaming
NOT,omggggggg
NOT,grape
NOT,hooray
NOT,ingles
NOT,goober
NOT,booooring
NOT,muscles
NOT,definantly
NOT,dumped
NOT,gamestop
NOT,romanian
NOT,phinnaly
NOT,yeeeeess
NOT,diplomat
NOT,fartacus
NOT,besth
NOT,fad
NOT,painter
NOT,quack
NOT,hawd
NOT,diabetic
NOT,oboma
NOT,toffee
NOT,unwell
NOT,beautifull
NOT,childess
NOT,boat
NOT,chatterbox
NOT,untreatable
NOT,doomentio
NOT,bullcrap
NOT,meeeeeeee
NOT,speechless
NOT,welcum
NOT,glorita
NOT,niggaaahhhh
NOT,fk
NOT,razzinfrazzinmaggle
NOT,darling
NOT,lmfaoooooo
NOT,rejoicing
NOT,burger
NOT,eggman
NOT,dd
NOT,kingggg
NOT,fluffy
NOT,follback
NOT,austria
